origin_port,grid_id,grid_center_lon,grid_center_lat,energy_type,emission_standard,type,trip_count,vehicle_count_x
外6,G5_2710_735,121.74417888029814,31.343960575473936,柴油,国六,客车,236,74
外4,G5_2706_734,121.56451582347424,31.30559199950064,柴油,国六,集卡,171,40
外4,G5_2704_736,121.47468429506229,31.382313508724522,柴油,国五,集卡,159,117
外4,G5_2712_723,121.83401040871009,30.882508365567617,柴油,国六,集卡,158,76
外4,G5_2712_723,121.83401040871009,30.882508365567617,柴油,国五,集卡,106,53
外4,G5_2706_734,121.56451582347424,31.30559199950064,柴油,国五,集卡,106,38
外6,G5_2710_736,121.74417888029814,31.382313508724522,柴油,国六,客车,99,34
外4,G5_2704_736,121.47468429506229,31.382313508724522,柴油,国六,集卡,97,78
外4,G5_2707_733,121.60943158768023,31.267207791637656,柴油,国六,集卡,93,30
外4,G5_2709_733,121.69926311609218,31.267207791637656,柴油,国五,集卡,84,60
外4,G5_2709_733,121.69926311609218,31.267207791637656,柴油,国六,集卡,82,52
外5,G5_2706_734,121.56451582347424,31.30559199950064,柴油,国五,普通货车,71,10
外2,G5_2704_736,121.47468429506229,31.382313508724522,柴油,国五,集卡,70,56
外4,G5_2713_723,121.87892617291608,30.882508365567617,柴油,国六,集卡,69,50
外6,G5_2711_735,121.78909464450413,31.343960575473936,柴油,国五,客车,65,20
外1,G5_2712_723,121.83401040871009,30.882508365567617,柴油,国六,集卡,64,42
外4,G5_2703_736,121.42976853085631,31.382313508724522,柴油,国五,集卡,64,53
外4,G5_2704_735,121.47468429506229,31.343960575473936,柴油,国五,集卡,62,53
外4,G5_2710_731,121.74417888029814,31.190392523736996,柴油,国四,集卡,61,13
外4,G5_2704_736,121.47468429506229,31.382313508724522,柴油,国四,集卡,61,38
外4,G5_2704_735,121.47468429506229,31.343960575473936,电动,新能源,未知,57,25
外4,G5_2705_735,121.51960005926826,31.343960575473936,柴油,国五,集卡,54,36
外4,G5_2704_736,121.47468429506229,31.382313508724522,其他,未知,未知,54,23
外4,G5_2704_735,121.47468429506229,31.343960575473936,柴油,国六,集卡,53,33
外2,G5_2712_723,121.83401040871009,30.882508365567617,柴油,国六,集卡,47,42
外4,G5_2704_735,121.47468429506229,31.343960575473936,其他,未知,未知,45,18
外1,G5_2704_736,121.47468429506229,31.382313508724522,柴油,国五,集卡,45,44
外2,G5_2712_723,121.83401040871009,30.882508365567617,柴油,国五,集卡,43,31
外4,G5_2713_723,121.87892617291608,30.882508365567617,柴油,国五,集卡,43,39
外4,G5_2702_738,121.38485276665034,31.45897240388786,柴油,国五,集卡,39,33
外4,G5_2702_736,121.38485276665034,31.382313508724522,柴油,国五,集卡,38,26
外2,G5_2704_735,121.47468429506229,31.343960575473936,柴油,国五,集卡,38,31
外6,G5_2710_735,121.74417888029814,31.343960575473936,柴油,国五,客车,36,17
外4,G5_2708_733,121.65434735188619,31.267207791637656,柴油,国六,集卡,35,20
外1,G5_2712_723,121.83401040871009,30.882508365567617,柴油,国五,集卡,35,26
外4,G5_2709_733,121.69926311609218,31.267207791637656,柴油,国四,集卡,35,19
外1,G5_2707_733,121.60943158768023,31.267207791637656,柴油,国六,集卡,34,13
外2,G5_2704_736,121.47468429506229,31.382313508724522,柴油,国六,集卡,34,31
外1,G5_2702_738,121.38485276665034,31.45897240388786,柴油,国五,集卡,34,26
外4,G5_2703_736,121.42976853085631,31.382313508724522,柴油,国六,集卡,34,25
外2,G5_2706_734,121.56451582347424,31.30559199950064,柴油,国五,集卡,33,22
外5,G5_2701_726,121.33993700244436,30.99808156047971,柴油,国五,集卡,33,22
外1,G5_2704_736,121.47468429506229,31.382313508724522,柴油,国六,集卡,33,28
外1,G5_2703_736,121.42976853085631,31.382313508724522,柴油,国五,集卡,32,28
外1,G5_2709_733,121.69926311609218,31.267207791637656,柴油,国五,集卡,32,27
外2,G5_2703_736,121.42976853085631,31.382313508724522,柴油,国五,集卡,32,31
外2,G5_2709_733,121.69926311609218,31.267207791637656,柴油,国五,集卡,32,26
外5,G5_2705_726,121.51960005926826,30.99808156047971,柴油,国五,集卡,30,23
外1,G5_2706_734,121.56451582347424,31.30559199950064,柴油,国五,集卡,29,16
外4,G5_2700_735,121.2950212382384,31.343960575473936,柴油,国六,集卡,29,28
外2,G5_2705_735,121.51960005926826,31.343960575473936,柴油,国五,集卡,29,28
外4,G5_2710_731,121.74417888029814,31.190392523736996,柴油,国六,集卡,28,9
外6,G5_2710_736,121.74417888029814,31.382313508724522,柴油,国五,集卡,28,19
外4,G5_2702_736,121.38485276665034,31.382313508724522,柴油,国六,集卡,28,27
外4,G5_2702_737,121.38485276665034,31.420650788451876,柴油,国五,集卡,28,26
外2,G5_2704_735,121.47468429506229,31.343960575473936,电动,新能源,未知,27,17
外2,G5_2707_733,121.60943158768023,31.267207791637656,柴油,国六,集卡,27,13
外1,G5_2709_733,121.69926311609218,31.267207791637656,柴油,国六,集卡,27,19
外4,G5_2700_735,121.2950212382384,31.343960575473936,柴油,国五,集卡,27,23
外1,G5_2704_735,121.47468429506229,31.343960575473936,其他,未知,未知,26,17
外4,G5_2709_732,121.69926311609218,31.228807962750448,柴油,国四,集卡,26,6
外2,G5_2709_733,121.69926311609218,31.267207791637656,柴油,国六,集卡,26,23
外4,G5_2710_723,121.74417888029814,30.882508365567617,柴油,国五,集卡,25,22
外2,G5_2706_734,121.56451582347424,31.30559199950064,柴油,国六,集卡,25,18
外2,G5_2713_723,121.87892617291608,30.882508365567617,柴油,国六,集卡,25,25
外4,G5_2709_732,121.69926311609218,31.228807962750448,柴油,国五,集卡,25,19
外6,G5_2710_735,121.74417888029814,31.343960575473936,其他,未知,未知,24,10
外4,G5_2705_736,121.51960005926826,31.382313508724522,柴油,国五,集卡,24,24
外4,G5_2710_723,121.74417888029814,30.882508365567617,电动,新能源,未知,24,18
外4,G5_2713_722,121.87892617291608,30.843952931191293,柴油,国五,集卡,24,23
外4,G5_2703_736,121.42976853085631,31.382313508724522,其他,未知,未知,23,13
外4,G5_2704_721,121.47468429506229,30.805381997457314,柴油,国五,集卡,23,17
外5,G5_2707_733,121.60943158768023,31.267207791637656,柴油,国六,集卡,23,16
外5,G5_2705_735,121.51960005926826,31.343960575473936,柴油,国五,集卡,23,20
外1,G5_2704_735,121.47468429506229,31.343960575473936,柴油,国六,集卡,23,16
外2,G5_2710_731,121.74417888029814,31.190392523736996,柴油,国四,集卡,23,8
外6,G5_2710_735,121.74417888029814,31.343960575473936,柴油,国五,集卡,23,18
外4,G5_2706_734,121.56451582347424,31.30559199950064,柴油,国四,集卡,22,9
外6,G5_2709_736,121.69926311609218,31.382313508724522,柴油,国五,客车,22,12
外1,G5_2702_736,121.38485276665034,31.382313508724522,柴油,国五,集卡,22,18
外4,G5_2708_732,121.65434735188619,31.228807962750448,柴油,国五,集卡,22,19
外2,G5_2704_735,121.47468429506229,31.343960575473936,其他,未知,未知,21,11
外2,G5_2712_727,121.83401040871009,31.036574885517357,柴油,国六,集卡,21,14
外4,G5_2704_737,121.47468429506229,31.420650788451876,电动,新能源,未知,21,12
外4,G5_2708_732,121.65434735188619,31.228807962750448,柴油,国六,集卡,21,18
外4,G5_2702_734,121.38485276665034,31.30559199950064,柴油,国五,集卡,21,11
外4,G5_2710_732,121.74417888029814,31.228807962750448,柴油,国五,集卡,21,18
外5,G5_2701_726,121.33993700244436,30.99808156047971,柴油,国五,普通货车,21,14
外4,G5_2710_724,121.74417888029814,30.921048289362904,柴油,国五,集卡,21,11
外1,G5_2706_734,121.56451582347424,31.30559199950064,柴油,国六,集卡,20,12
外1,G5_2710_731,121.74417888029814,31.190392523736996,柴油,国四,集卡,20,9
外6,G5_2710_735,121.74417888029814,31.343960575473936,柴油,国六,普通货车,20,7
外2,G5_2704_735,121.47468429506229,31.343960575473936,柴油,国四,集卡,20,10
外1,G5_2700_735,121.2950212382384,31.343960575473936,柴油,国六,集卡,20,18
外4,G5_2703_736,121.42976853085631,31.382313508724522,柴油,国四,集卡,20,19
外4,G5_2701_734,121.33993700244436,31.30559199950064,柴油,国五,集卡,20,19
外4,G5_2707_732,121.60943158768023,31.228807962750448,柴油,国六,集卡,20,7
外4,G5_2700_719,121.2950212382384,30.728193676973024,柴油,国五,集卡,20,17
外4,G5_2710_731,121.74417888029814,31.190392523736996,柴油,国五,集卡,20,13
外2,G5_2710_723,121.74417888029814,30.882508365567617,电动,新能源,未知,20,15
外1,G5_2709_733,121.69926311609218,31.267207791637656,柴油,国四,集卡,20,12
外5,G5_2701_732,121.33993700244436,31.228807962750448,柴油,国五,集卡,19,4
外4,G5_2712_723,121.83401040871009,30.882508365567617,其他,未知,未知,19,12
外1,G5_2705_735,121.51960005926826,31.343960575473936,其他,未知,未知,19,5
外6,G5_2710_735,121.74417888029814,31.343960575473936,柴油,国五,普通货车,19,8
外4,G5_2704_722,121.47468429506229,30.843952931191293,柴油,国五,集卡,19,15
外2,G5_2713_723,121.87892617291608,30.882508365567617,柴油,国五,集卡,19,18
外6,G5_2709_736,121.69926311609218,31.382313508724522,柴油,国六,普通货车,19,9
外4,G5_2706_722,121.56451582347424,30.843952931191293,柴油,国五,集卡,19,14
