port_name,energy_type,emission_standard,type
外6,柴油,国六,客车
外4,柴油,国六,集卡
外4,柴油,国五,集卡
外5,柴油,国五,普通货车
外2,柴油,国五,集卡
外6,柴油,国五,客车
外1,柴油,国六,集卡
外4,柴油,国四,集卡
外4,电动,新能源,未知
外4,其他,未知,未知
外2,柴油,国六,集卡
外1,柴油,国五,集卡
外5,柴油,国五,集卡
外6,柴油,国五,集卡
外2,电动,新能源,未知
外1,其他,未知,未知
外6,其他,未知,未知
外5,柴油,国六,集卡
外2,柴油,国四,集卡
外2,其他,未知,未知
外1,柴油,国四,集卡
外6,柴油,国六,普通货车
外6,柴油,国五,普通货车
外5,柴油,国六,普通货车
外1,电动,新能源,未知
外1,柴油,国五,普通货车
外6,柴油,国六,集卡
外5,柴油,国四,集卡
外5,其他,未知,未知
外6,柴油,国五,渣土
外5,柴油,国四,普通货车
外4,柴油,国六,普通货车
外5,柴油,国五,其它
外5,电动,新能源,未知
外4,柴油,国五,客车
外6,电动,新能源,未知
外6,柴油,国四,客车
外6,柴油,国四,集卡
外6,柴油,国六,其它
外2,其他,未知,集卡
外1,柴油,国五,渣土
外2,柴油,国五,普通货车
外5,柴油,国四,渣土
外4,柴油,国五,普通货车
外2,柴油,国四,客车
外6,柴油,国四,普通货车
外2,柴油,国六,普通货车
外4,其他,未知,集卡
外4,柴油,国四,普通货车
外2,柴油,国四,普通货车
外4,柴油,国三,集卡
外2,柴油,国五,罐车
外1,柴油,国四,普通货车
外4,柴油,国四,客车
外2,柴油,国六,客车
外2,柴油,国五,渣土
外1,柴油,国六,普通货车
外6,柴油,国四,渣土
